SrNo,Year,Blast_Day_Type,City,Latitude,Longitude,Province,Location_Sensitivity,Space_Type,Targeted_Sect,Killed,Injured,No_of_suicide_blasts,Explosive_Wt_Kg,Temperature_C,
179,2009,Working Day,Nowshehra,34.0322,73.0944,KPK,Medium,Closed,Sunni,7,63,1,,29.20,
180,2009,Working Day,Swat,35.3833,72.1833,KPK,High,Open,,2,,,,27.67,
181,2009,Working Day,Muzaffarabad,34.3597,73.4711,AJK,High,Open,,2,3,1,,33.26,
182,2009,Working Day,Khyber Agency,34.0211,71.2874,FATA,High,Open,Sunni,4,10,1,,31.26,
183,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,1,,1,,30.39,
184,2009,Working Day,Rawalpindi,33.6058,73.0437,Punjab,High,Open,,1,25,1,10,27.29,
185,2009,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Open,,1,2,1,20,34.83,
186,2009,Working Day,North Waziristan,32.9746,70.1456,KPK,High,Open,,2,3,1,,27.49,
187,2009,Working Day,South Waziristan,32.3202,69.8597,FATA,Low,Open,Sunni,5,,1,,26.93,
188,2009,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,5,,1,,32.85,
189,2009,Holiday,swat,35.2227,72.4258,KPK,High,Open,,1,,1,,29.99,
190,2009,Working Day,North Waziristan,32.9746,70.1456,KPK,High,Open,,7,,1,,24.65,
191,2009,Working Day,Kohat,33.5833,71.4333,KPK,,Open,,0,,1,,29.04,
192,2009,Working Day,Swat,35.2227,72.4258,KPK,Low,Closed,,3,2,1,,26.03,
193,2009,Holiday,Peshawar,34.0043,71.5448,KPK,Low,open,Sunni,3,,1,12,29.92,
194,2009,Working Day,Khyber Agency,34.0211,71.2874,FATA,High,Open,,22,10,1,,30.08,
195,2009,Holiday,Swat,35.2227,72.4258,KPK,High,Closed,,18,4,1,12,29.16,
196,2009,Working Day,Hangu,33.5351,71.0713,KPK,High,Closed,,,2,1,,26.64,
197,2009,Holiday,Malakand ,34.5030,71.9046,KPK,High,Open,,1,3,2,,28.31,
198,2009,Working Day,Kohat,33.5833,71.4333,KPK,Low,Open,,37,50,1,150,29.19,
199,2009,Working Day,Dara Adam Khel,33.6854,71.5131,KPK,High,Open,,2,,1,,29.87,
200,2009,Working Day,Totalai,34.2000,72.5000,KPK,Low,Closed,,0,,1,,26.86,
201,2009,Working Day,Bannu,32.9861,70.6042,KPK,High,Open,,10,50,1,180,26.38,
202,2009,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Open,,14,50,1,100,31.08,
203,2009,Working Day,bannu,32.9350,70.6688,KPK,Low,Open,Sunni,5,,1,,24.33,
204,2009,Working Day,Islamabad,33.7180,73.0718,Capital,High,Closed,Christian,5,3,1,8,24.94,
205,2009,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Open,,50,148,1,100,25.75,
206,2009,Working Day,Shangla ,34.8015,72.7570,KPK,High,Open,,41,45,1,,22.04,
207,2009,Working Day,Kohat,33.5833,71.4333,KPK,High,Closed,,12,20,1,100,23.25,
208,2009,Working Day,Lahore,31.5451,74.3407,Punjab,High,Closed,,18,,,,25.22,
209,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Closed,,15,15,1,70,23.27,
210,2009,Working Day,Islamabad,33.7180,73.0718,Capital,Low,Closed,,6,29,2,16,21.90,
211,2009,Working Day,Attock,33.7645,72.3667,Punjab,High,Open,,9,13,1,,20.87,
212,2009,Working Day,Chakwal ,32.9303,72.8556,Punjab,High,Open,,1,,1,,20.49,
213,2009,Working Day,Rawalpindi,33.6058,73.0437,Punjab,Low,Open,,38,60,1,15,20.76,
214,2009,Working Day,Lahore,31.5451,74.3407,Punjab,High,Open,,,10,1,10,21.02,
215,2009,Holiday,Peshawar,34.0043,71.5448,KPK,Low,Open,,19,35,1,10,14.74,
216,2009,Holiday,Peshawar,34.0043,71.5448,KPK,High,Open,,3,5,1,7,15.48,
217,2009,Working Day,Charsadda,34.1509,71.7359,KPK,Low,Open,,34,60,1,60,15.49,
218,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,13,47,1,400,17.43,
219,2009,Working Day,Bannu,32.9861,70.6042,KPK,High,Closed,,8,22,1,200,10.70,
220,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,12,25,1,60,17.01,
221,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,3,,1,250,14.65,
222,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,22,46,1,10,15.72,
223,2009,Working Day,Swat,35.2227,72.4258,KPK,Medium,Closed,,2,11,1,10,13.83,
224,2009,Working Day,Islamabad,33.7180,73.0718,Capital,High,Open,,2,10,1,12,15.60,
225,2009,Working Day,Rawalpindi,33.6058,73.0437,Punjab,Medium,Closed,,40,75,1,,16.04,
226,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,11,37,1,8,13.77,
227,2009,Working Day,Lahore,31.5451,74.3407,Punjab,Low,Open,,45,100,2,,13.12,
228,2009,Working Day,Multan,30.1886,71.4559,Punjab,High,Open,,15,47,1,1000,14.84,
229,2009,Working Day,D.G Khan,30.0500,70.6333,KPK,Medium,Open,,33,55,1,1000,16.34,
230,2009,Working Day,Bannu,32.9861,70.6042,KPK,Medium,Closed,,0,,1,,6.32,
231,2009,Working Day,Lower Dir,34.8453,71.9046,KPK,Medium,Closed,,12,28,1,20,10.69,
232,2009,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Closed,,3,21,1,10,13.12,
233,2009,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,5,24,1,10,13.48,
234,2009,Working Day,Islamabad,33.7180,73.0718,Capital,Medium,Open,Shiite,1,1,1,,12.70,
235,2009,Holiday,Muzaffarabad,34.3597,73.4711,AJK,Medium,Open,Shiite,15,81,1,,9.53,
236,2010,Working Day,Lakki marwat,32.6018,70.9148,KPK,Medium,Open,,100,37,1,250,6.81,
237,2010,Working Day,Sudhanoti,33.7060,73.7242,AJK,High,Open,,4,11,1,,11.39,
238,2010,Working Day,Khyber Agency,34.0211,71.2874,KPK,low,Open,,8,,1,,11.33,
239,2010,Working Day,peshawar,34.0043,71.5448,KPK,High,Open,,0,,1,,12.08,
240,2010,Working Day,Poonch,33.8243,73.7949,AJK,High,Open,,1,1,1,600,12.41,
241,2010,Working Day,Tank,32.2260,70.3761,KPK,High,Open,,5,3,1,,6.02,
242,2010,Working Day,Bajaur Agency,34.8718,71.5249,FATA,High,Open,,17,26,1,,6.91,
243,2010,Working Day,Khyber Agency,34.0211,71.2874,KPK,High,Open,,22,6,1,,8.07,
244,2010,Working Day,Bannu,32.9861,70.6042,KPK,High,Open,,15,25,2,,2.32,
245,2010,Working Day,Khyber Agency,34.0211,71.2874,KPK,Medium,Open,Sunni,31,30,1,40,11.84,
246,2010,Working Day,Mansehra,34.3333,73.2000,KPK,High,Open,,1,4,2,5,13.74,
247,2010,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,13,37,1,,11.66,
248,2010,Holiday,Karak,33.1193,71.0951,KPK,High,Open,,4,23,2,250,11.69,
249,2010,Working Day,Hangu,33.5351,71.0713,KPK,Low,Open,Shiite,14,30,1,12,12.35,
250,2010,Working Day,Lahore,31.5451,74.3407,Punjab,High,Open,,14,80,1,600,20.46,
251,2010,Working Day,Lahore,31.5451,74.3407,Punjab,High,Open,Sunni,57,90,2,12,23.32,
252,2010,Working Day,Swat,35.2227,72.4258,KPK,High,Open,,17,52,1,14,16.37,
253,2010,Working Day,Tank,32.2260,70.3761,KPK,Medium,Closed,Sunni,2,,1,,16.64,
254,2010,Working Day,Bajaur Agency,34.8718,71.5249,FATA,Low,Open,Sunni,2,5,1,,19.45,
